点位编号,侧滑角α,迎角β,来流总压P0,来流静压Ps,P1,P2,P3,P4,P5,P6,P7,大气压力,大气温度,采样次数,Kα,Kβ,K0,Ks,马赫数,速度,标准差,U(Kα),U(Kβ),U(K0),U(Ks),边界标记
291,0.000,0.000,188.212,0.794,-113.896,67.951,178.270,53.200,-118.578,-98.076,114.744,99517.895,31.5,10,0.0000,0.0000,0.0000,0.0000,0.0519,18.139,0.6582,,,,,
292,0.000,0.000,189.185,0.699,-108.550,89.720,179.210,31.478,-119.336,-98.435,117.377,99519.302,31.5,10,0.0000,0.0000,0.0000,0.0000,0.0520,18.190,0.2977,,,,,
293,0.000,0.000,189.041,0.707,-102.792,109.470,178.196,5.087,-121.291,-103.742,117.117,99519.116,31.5,10,0.0000,0.0000,0.0000,0.0000,0.0520,18.183,0.6841,,,,,
294,0.000,0.000,191.201,0.887,-90.635,128.850,174.843,-18.025,-117.999,-109.208,118.411,99517.383,31.5,10,0.0000,0.0000,0.0000,0.0000,0.0523,18.278,0.4660,,,,,
295,0.000,0.000,189.605,0.602,-80.985,142.774,165.635,-43.460,-119.219,-120.056,116.333,99517.477,31.5,10,0.0000,0.0000,0.0000,0.0000,0.0521,18.216,1.1763,,,,,
296,0.000,0.000,188.859,0.775,-66.126,154.979,153.286,-66.596,-117.715,-128.042,113.265,99517.578,31.5,10,0.0000,0.0000,0.0000,0.0000,0.0519,18.171,0.6029,,,,,P2-P3
297,0.000,0.000,191.816,0.579,-45.294,167.957,141.276,-84.573,-113.189,-133.596,113.563,99514.883,31.5,10,0.0000,0.0000,0.0000,0.0000,0.0524,18.323,0.3528,,,,,
298,0.000,0.000,192.388,0.617,-25.816,175.511,123.175,-100.864,-110.648,-139.977,111.246,99517.180,31.5,10,0.0000,0.0000,0.0000,0.0000,0.0524,18.349,0.6307,,,,,
299,0.000,0.000,190.646,0.751,-3.885,178.383,100.710,-116.288,-110.288,-146.073,107.066,99516.430,31.5,10,0.0000,0.0000,0.0000,0.0000,0.0522,18.259,0.6466,,,,,
300,0.000,0.000,189.711,0.718,20.073,180.083,76.417,-126.595,-111.489,-148.964,103.229,99514.078,31.5,10,0.0000,0.0000,0.0000,0.0000,0.0521,18.216,0.6808,,,,,
301,0.000,0.000,189.722,0.778,43.721,181.113,52.973,-131.415,-111.985,-148.445,100.354,99516.047,31.5,10,0.0000,0.0000,0.0000,0.0000,0.0521,18.213,1.2184,,,,,
302,0.000,0.000,187.855,0.725,65.522,180.598,30.202,-132.561,-109.965,-144.425,96.388,99517.130,31.5,10,0.0000,0.0000,0.0000,0.0000,0.0518,18.126,0.7196,,,,,
303,0.000,0.000,190.420,0.714,89.272,181.383,9.091,-130.322,-108.729,-136.751,93.688,99512.750,31.5,10,0.0000,0.0000,0.0000,0.0000,0.0522,18.250,0.3326,,,,,
