点位编号,侧滑角α,迎角β,来流总压P0,来流静压Ps,P1,P2,P3,P4,P5,P6,P7,大气压力,大气温度,采样次数,Kα,Kβ,K0,Ks,马赫数,速度,标准差,U(Kα),U(Kβ),U(K0),U(Ks),边界标记
151,5.000,25.000,221.713,-0.371,194.090,124.241,-43.548,-59.317,-52.147,58.203,163.959,99236.031,29.0,10,-0.3392,2.0596,-0.2601,-0.1679,0.0565,19.689,0.7878,,,,,
152,10.000,25.000,220.495,-0.442,188.538,151.072,-38.582,-65.586,-64.413,16.073,158.024,99236.567,29.0,10,-0.7321,2.0456,-0.2828,-0.1431,0.0564,19.638,0.6714,,,,,
153,15.000,25.000,220.894,-0.238,180.305,172.939,-35.518,-82.404,-84.228,-30.925,146.825,99237.277,29.0,10,-1.1501,2.0694,-0.3350,-0.0916,0.0564,19.647,0.9594,,,,,
154,20.000,25.000,219.679,-0.384,165.173,189.303,-32.635,-105.444,-105.755,-78.871,133.117,99237.369,29.0,10,-1.5416,2.0603,-0.3933,-0.0258,0.0563,19.600,1.3599,,,,,
155,25.000,25.000,219.985,-0.318,145.818,200.675,-33.000,-133.456,-126.141,-127.048,113.545,99238.038,29.0,10,-1.9325,2.0978,-0.4832,0.0539,0.0563,19.610,0.4929,,,,,
156,30.000,25.000,221.174,-0.281,120.904,210.211,-31.108,-164.976,-143.662,-173.536,92.390,99237.602,29.0,10,-2.3343,2.1268,-0.5815,0.1358,0.0564,19.662,0.3302,,,,,
157,-30.000,30.000,221.049,-0.376,155.183,-167.762,-133.459,-173.096,-88.993,204.947,48.424,99235.516,29.0,10,2.9270,3.7114,-0.7796,0.1512,0.0564,19.661,0.8005,,,,,
158,-25.000,30.000,218.933,-0.324,172.217,-135.506,-136.267,-148.443,-86.769,196.119,72.446,99237.992,29.0,10,2.3028,3.2267,-0.6681,0.1039,0.0562,19.565,0.8605,,,,,
159,-20.000,30.000,219.220,-0.066,186.930,-89.543,-126.328,-122.554,-84.519,183.032,96.465,99237.508,29.0,10,1.7238,2.9229,-0.5598,0.0400,0.0562,19.566,1.4708,,,,,P1-P6
160,-15.000,30.000,221.745,-0.448,199.638,-42.300,-114.213,-99.826,-83.838,166.093,114.427,99236.661,29.0,10,1.2513,2.7860,-0.4830,-0.0212,0.0565,19.696,1.1951,,,,,
